Park_and_Ride_Station,Category,Passengers,Radius,Tour_Length
Fish Creek - Lacombe CTrain Station,C-Train Stations,4,2,5983.247
Fish Creek - Lacombe CTrain Station,C-Train Stations,4,3,6082.88
Fish Creek - Lacombe CTrain Station,C-Train Stations,4,4,20633.931
Fish Creek - Lacombe CTrain Station,C-Train Stations,4,5,12106.565
Fish Creek - Lacombe CTrain Station,C-Train Stations,5,2,11997.922
Fish Creek - Lacombe CTrain Station,C-Train Stations,5,3,29871.380999999998
Fish Creek - Lacombe CTrain Station,C-Train Stations,5,4,16081.078
Fish Creek - Lacombe CTrain Station,C-Train Stations,5,5,26180.426000000003
Fish Creek - Lacombe CTrain Station,C-Train Stations,6,2,
Fish Creek - Lacombe CTrain Station,C-Train Stations,6,3,
Fish Creek - Lacombe CTrain Station,C-Train Stations,6,4,17786.533
Fish Creek - Lacombe CTrain Station,C-Train Stations,6,5,38241.44
Fish Creek - Lacombe CTrain Station,C-Train Stations,7,2,14492.523999999998
Fish Creek - Lacombe CTrain Station,C-Train Stations,7,3,19118.226999999995
Fish Creek - Lacombe CTrain Station,C-Train Stations,7,4,29015.407999999996
Fish Creek - Lacombe CTrain Station,C-Train Stations,7,5,
Fish Creek - Lacombe CTrain Station,C-Train Stations,8,2,12363.134999999998
Fish Creek - Lacombe CTrain Station,C-Train Stations,8,3,19538.485
Fish Creek - Lacombe CTrain Station,C-Train Stations,8,4,18635.496
Fish Creek - Lacombe CTrain Station,C-Train Stations,8,5,33411.916
Fish Creek - Lacombe CTrain Station,C-Train Stations,9,2,16095.062999999998
Fish Creek - Lacombe CTrain Station,C-Train Stations,9,3,
Fish Creek - Lacombe CTrain Station,C-Train Stations,9,4,39071.262
Fish Creek - Lacombe CTrain Station,C-Train Stations,9,5,
Fish Creek - Lacombe CTrain Station,C-Train Stations,10,2,17059.661999999997
Fish Creek - Lacombe CTrain Station,C-Train Stations,10,3,
Fish Creek - Lacombe CTrain Station,C-Train Stations,10,4,28636.411999999997
Fish Creek - Lacombe CTrain Station,C-Train Stations,10,5,32785.153
Fish Creek - Lacombe CTrain Station,C-Train Stations,11,2,
Fish Creek - Lacombe CTrain Station,C-Train Stations,11,3,26101.686999999998
Fish Creek - Lacombe CTrain Station,C-Train Stations,11,4,27513.474999999995
Fish Creek - Lacombe CTrain Station,C-Train Stations,11,5,42303.56399999999
Fish Creek - Lacombe CTrain Station,C-Train Stations,12,2,15835.454999999998
